movieInfo,quote,title,star,quo_num
导演:李安AngLee主演:吴倩莲Chien-lienWu/杨贵媚Kuei-MeiYang/...;1994/台湾美国/剧情家庭;;,人生不能像做菜，把所有的料都准备好了才下锅。,饮食男女,8.9,133605人评价
导演:宫崎骏主演:松田洋治/石田百合子/田中裕子;1997/日本/动画冒险奇幻;;,人与自然的战争史诗。,幽灵公主,8.8,190523人评价
导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...;2010/中国大陆香港/剧情喜剧动作西部;;,你给我翻译翻译，神马叫做TMD的惊喜。,让子弹飞,8.7,533982人评价
导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...;1997/美国/剧情;;,人生中应该拥有这样的一段豁然开朗。,心灵捕手,8.7,212576人评价
导演:姜炯哲Hyeong-CheolKang主演:沈恩京Eun-kyungShim/闵孝琳Hy...;2011/韩国/剧情喜剧;;,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘,8.8,214622人评价
导演:姜文WenJiang主演:夏雨YuXia/宁静JingNing/陶虹HongTao;1994/中国大陆香港/剧情;;,一场华丽的意淫。,阳光灿烂的日子,8.7,219654人评价
导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/吴达洙Dal-suO...;2013/韩国/剧情;;,电影的现实意义大过电影本身。,辩护人,9.1,133506人评价
导演:KátiaLund/FernandoMeirelles主演:AlexandreRodrigues/Lea...;2002/巴西法国/犯罪剧情;;,被上帝抛弃了的上帝之城。,上帝之城,8.9,130487人评价
导演:高畑勋IsaoTakahata主演:辰己努/白石绫乃/志乃原良子;1988/日本/动画剧情战争;;,幸福是生生不息，却难以触及的远。 ,萤火虫之墓,8.8,168992人评价
导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...;1961(上集)/1964(下集)/1978(全本)/2004(纪念版)/中国大陆/动画奇幻;;,经典之作，历久弥新。,大闹天宫,9.2,74598人评价
导演:王家卫KarWaiWong主演:林青霞BrigitteLin/金城武TakeshiK...;1994/香港/剧情爱情;;,寂寞没有期限。,重庆森林,8.6,248480人评价
导演:王家卫主演:梁朝伟/张国荣/张震;1997/香港日本韩国/剧情爱情同性;;,爱情纠缠，男女一致。,春光乍泄,8.7,185182人评价
导演:JamesMangold主演:JohnCusack/RayLiotta/AmandaPeet;2003/美国/剧情悬疑惊悚;;,最不可能的那个人永远是最可能的。,致命ID,8.6,250787人评价
导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...;2010/美国/剧情悬疑惊悚;;,昔日翩翩少年，今日大腹便便。,禁闭岛,8.6,287486人评价
导演:陈可辛PeterChan主演:黎明LeonLai/张曼玉MaggieCheung/...;1996/香港/剧情爱情;;,逢只要一瞬间，等待却像是一辈子。,甜蜜蜜,8.7,189651人评价
导演:中岛哲也TetsuyaNakashima主演:松隆子TakakoMatsu/冈田将生...;2010/日本/剧情惊悚;;,没有一人完全善，也没有一人完全恶。,告白,8.6,270353人评价
导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp/...;2003/美国/动作冒险奇幻;;,约翰尼·德普的独角戏。,加勒比海盗,8.5,272990人评价
导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...;1995/美国奥地利瑞士/剧情爱情;;,缘分是个连绵词，最美不过一瞬。,爱在黎明破晓前,8.7,173404人评价
导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...;2009/美国英国/动作冒险奇幻科幻;;,绝对意义上的美轮美奂。,阿凡达,8.6,450457人评价
导演:宫崎骏HayaoMiyazaki主演:岛本须美SumiShimamoto/京田尚子H...;1984/日本/科幻动画奇幻冒险;;,动画片的圣经。,风之谷,8.8,143156人评价
导演:杨德昌主演:吴念真/李凯莉KellyLee/金燕玲ElaineJin;2000/台湾日本/剧情爱情家庭;;,我们都曾经是一一。,一一,8.8,122475人评价
导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...;2004/美国/剧情爱情;;,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时,8.7,162224人评价
导演:比利·怀尔德BillyWilder主演:查尔斯·劳顿CharlesLaughton/...;1957/美国/剧情犯罪悬疑;;,比利·怀德满分作品。,控方证人,9.5,42333人评价
导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud主演:...;2009/法国瑞士西班牙美国阿联酋/纪录片;;,大海啊，不全是水。,海洋,9.0,87218人评价
导演:爱德华·兹威克EdwardZwick主演:安东尼·霍普金斯AnthonyHopki...;1994/美国/剧情爱情西部家庭;;,传奇，不是每个人都可以拥有。,燃情岁月,8.8,128832人评价
导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders主演:...;2010/美国/喜剧动画奇幻冒险家庭;;,和谐的生活离不开摸头与被摸头。,驯龙高手,8.7,233558人评价
导演:近藤喜文YoshifumiKondo主演:本名阳子YoukoHonna/小林桂树K...;1995/日本/剧情爱情动画音乐;;,少女情怀总是诗。,侧耳倾听,8.8,131735人评价
导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...;2013/韩国/剧情家庭;;,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,素媛,9.1,113914人评价
导演:GérardOury主演:路易·德·菲耐斯LouisdeFunès/布尔维尔B...;1966/法国英国/喜剧战争;;,永远看不腻的喜剧。,虎口脱险,8.9,89894人评价
导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...;2004/美国/喜剧剧情爱情;;,有时候幸福需要等一等。 ,幸福终点站,8.6,192048人评价
导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody/克里...;2011/美国/剧情;;,穷尽一生，我们要学会的，不过是彼此拥抱。,超脱,8.7,134229人评价
导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud主演:...;2010/美国/儿童喜剧动画;;,Mr. I Don't Care其实也有Care的时候。,神偷奶爸,8.5,304955人评价
导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...;2002/美国加拿大/传记犯罪剧情;;,骗子大师和执著警探的你追我跑故事。 ,猫鼠游戏,8.7,166269人评价
导演:詹姆斯·温JamesWan主演:雷·沃纳尔LeighWhannell/加利·艾...;2004/美国澳大利亚/犯罪悬疑惊悚;;,真相就在眼前。,电锯惊魂,8.6,164734人评价
导演:理查德·柯蒂斯RichardCurtis主演:休·格兰特HughGrant/柯林...;2003/英国美国/喜剧剧情爱情;;,爱，是个动词。,真爱至上,8.5,261013人评价
导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...;1936/美国/喜剧剧情爱情;;,大时代中的人生，小人物的悲喜。,摩登时代,9.1,64930人评价
导演:李安AngLee主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...;2005/美国加拿大/剧情爱情同性家庭;;,每个人心中都有一座断背山。,断背山,8.5,261425人评价
导演:北野武TakeshiKitano主演:北野武TakeshiKitano/关口雄介Yus...;1999/日本/剧情喜剧;;,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,菊次郎的夏天,8.7,139570人评价
导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan主演:戴夫...;2008/英国美国/剧情爱情;;,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁,8.5,344381人评价
导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida/神木...;2010/日本/动画奇幻冒险;;,曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂,8.7,177747人评价
导演:巴瑞·莱文森BarryLevinson主演:达斯汀·霍夫曼DustinHoffman...;1988/美国/剧情;;,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,雨人,8.6,174942人评价
导演:罗启锐AlexLaw主演:吴君如SandraNg/任达华SimonYam/钟绍...;2010/香港中国大陆/剧情家庭;;,岁月流逝，来日可追。,岁月神偷,8.6,258320人评价
导演:尼克·卡索维茨NickCassavetes主演:瑞恩·高斯林RyanGosling/...;2004/美国/剧情爱情;;,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,恋恋笔记本,8.5,222778人评价
导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes/...;2014/美国德国英国/剧情喜剧;;,小清新的故事里注入了大历史的情怀。,布达佩斯大饭店,8.7,226412人评价
导演:ChristopherNolan主演:GuyPearce/Carrie-AnneMoss/JoePant...;2000/美国/犯罪剧情悬疑惊悚;;,一个针管引发的血案。,记忆碎片,8.5,224878人评价
导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders主演...;2013/美国/喜剧动画冒险;;,老少皆宜，这就是好莱坞动画的魅力。,疯狂原始人,8.8,310455人评价
导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...;2007/美国德国/动作悬疑冒险;;,像吃了苏打饼一样干脆的电影。,谍影重重3,8.7,140690人评价
导演:MervynLeRoy主演:VivienLeigh/RobertTaylor/LucileWatson;1940/美国/剧情战争爱情;;,中国式内在的美国电影。,魂断蓝桥,8.8,109639人评价
